time,high
2012,1.01615
2013,1.01636
2014,1.01642
2015,1.01655
2016,1.01774
2017,1.01835
2018,1.01711
2019,1.01599
2020,1.01492
2021,1.01536
2022,1.01614
2023,1.0118
2024,1.01032
2025,1.01147
2026,1.01346
2027,1.01477
2028,1.01423
2029,1.01559
2030,1.01588
2031,1.01811
2032,1.01685
2033,1.01681
2034,1.01716
2035,1.01758
2036,1.01817
2037,1.01802
2038,1.01776
2039,1.01704
2040,1.01605
2041,1.01452
2042,1.01458
2043,1.01512
2044,1.01514
2045,1.01451
2046,1.01319
2047,1.01215
2048,1.01195
2049,1.01138
2050,1.01054
2051,1.01006
2052,1.00895
2053,1.00673
2054,1.00777
2055,1.00825
2056,1.00751
2057,1.00668
2058,1.00663
2059,1.00497
2060,1.00429
2061,1.00391
2062,1.00422
2063,1.00438
2064,1.00455
2065,1.00238
2066,1.00228
2067,1.00235
2068,1.00175
2069,1.00116
2070,1.00241
2071,1.00163
2072,1.00098
2073,1.00072
2074,1.00169
2075,1.00439
2076,1.00442
2077,1.00461
2078,1.00525
2079,1.00613
2080,1.00665
2081,1.00584
2082,1.00524
2083,1.00396
2084,1.00366
2085,1.00345
2086,1.00321
2087,1.003
2088,1.00334
2089,1.00341
2090,1.00323
2091,1.00408
2092,1.00368
2093,1.0036
2094,1.00404
2095,1.00297
2096,1.00356
2097,1.00367
2098,1.00515
2099,1.00604
2100,1.00506
2101,1.0029
2102,1.00696
2103,1.00947
2104,1.0087
2105,1.00808
2106,1.00708
2107,1.00594
2108,1.0058
2109,1.00584
2110,1.00548
2111,1.00422
2112,1.00325
2113,1.00213
2114,1.00213
2115,1.00311
2116,1.00279
2117,1.002
2118,1.00168
2119,1.00259
2120,1.00283
2121,1.00345
2122,1.00305
2123,1.00114
2124,1.00096
2125,0.99821
2126,0.99798
2127,1.00209
2128,1.001
2129,1.00029
2130,1.0025
2131,1.00223
2132,1.00168
2133,1.00185
2134,1.00204
2135,1.0021
2136,1.00195
2137,1.00258
2138,1.00354
2139,1.00314
2140,1.00282
2141,1.0025
2142,1.00167
2143,1.00212
2144,1.0025
2145,1.00386
2146,1.0048
2147,1.00575
2148,1.00603
2149,1.00629
2150,1.00689
2151,1.00876
2152,1.00809
2153,1.00844
2154,1.00776
2155,1.00781
2156,1.00839
2157,1.00848
2158,1.00841
2159,1.00893
2160,1.00927
2161,1.01016
2162,1.01077
2163,1.01059
2164,1.0096
2165,1.00968
2166,1.00965
2167,1.01263
2168,1.01346
2169,1.01409
2170,1.01631
2171,1.01485
2172,1.01333
2173,1.01451
2174,1.01781
2175,1.01781
2176,1.01681
2177,1.01652
2178,1.01551
2179,1.01485
2180,1.0144
2181,1.01453
2182,1.01453
2183,1.01429
2184,1.01385
2185,1.01282
2186,1.01292
2187,1.01312
2188,1.01339
2189,1.01408
2190,1.01574
2191,1.02045
2192,1.02393
2193,1.02397
2194,1.02555
2195,1.02592
2196,1.02395
2197,1.02426
2198,1.02469
2199,1.02431
2200,1.02375
2201,1.02395
2202,1.02312
2203,1.02266
2204,1.02246
2205,1.02314
2206,1.02338
2207,1.02335
2208,1.02399
2209,1.02401
2210,1.02372
2211,1.02427
2212,1.02451
2213,1.02415
2214,1.02398
2215,1.02473
2216,1.02318
2217,1.02415
2218,1.02124
2219,1.01975
2220,1.02002
